Product Spec Sheet,,,,,,,,,,,
Product Line,Brand,Short Tagline,"Grade Range(s)
(comma-separated)","Goals
(comma-separated)","Priority Signals
(comma-separated)","Class Size(s)
(comma-separated)",Package Name,Package Price,Package Students,Package Link,SKU
Finch,BirdBrain Technologies,The coding robot that grows with students - from icon blocks to Python.,"K-2, 3-5, 6-8, 9-12","coding, computer science","coding_focus, device_compat, beginner, scalable","small, medium, large, district",Finch Robot 2.0,$180,2 students,https://store.crexo.com/collections/finch-robot/products/finch2,80220001
Finch,BirdBrain Technologies,"The coding robot that grows with students - from icon blocks to Python in a pack of 5 robots, with a carrying case and charging hub.
5 robots","K-2, 3-5, 6-8, 9-12","coding, computer science","coding_focus, device_compat, beginner, scalable","small, medium, large, district",Starter Flock,$950,10 students,https://store.crexo.com/collections/finch-robot/products/finch-robot-classroom-flock,80220002
Finch,BirdBrain Technologies,"The coding robot that grows with students - from icon blocks to Python in a classroom solution containing 10 robots, USB charging hubs, rolling storage, 5 Finch Mats, and 2 Finch Arenas","K-2, 3-5, 6-8, 9-12","coding, computer science","coding_focus, device_compat, beginner, scalable","small, medium, large, district",Classroom Solution,"$3,150",20 students,https://store.crexo.com/collections/finch-robot/products/finch-solution,80220024
Hummingbird Robotics Kit,BirdBrain Technologies,"Open-ended project robotics with lights, motors, and sensors.","3-5, 6-8, 9-12","coding, engineering, computer science","coding_focus, open_ended, curriculum, scalable, device_compat, hands_on","small, medium, large, district",Premium Kit,$230,2-3 students,https://store.crexo.com/collections/hummingbird-bit/products/hummingbird-bit-premium-kit,80210001
Hummingbird Robotics Kit,BirdBrain Technologies,"Open-ended project robotics with lights, motors, and sensors. A pack of 4 Hummingbird Premium Kits with a carrying case and tools. ","3-5, 6-8, 9-12","coding, engineering, computer science","coding_focus, open_ended, curriculum, scalable, device_compat, hands_on","small, medium, large, district",Starter Flock,$920,8-12 students,https://store.crexo.com/collections/hummingbird-bit/products/hummingbird-bit-classroom-flock,80210002
Hummingbird Robotics Kit,BirdBrain Technologies,"Open-ended project robotics with lights, motors, and sensors. A classroom-ready pack of 10 Premium Kits, 30 Project Packs (10 Rover Packs, 10 Animatronic Packs, 10 Catapult Packs), 10 Rechargeable Power Banks, 2 USB charging hubs, tools, 1 Rolling Storage, 2 Inflight Storage solutions. (capacity for 10 built projects)","3-5, 6-8, 9-12","coding, engineering, computer science","coding_focus, open_ended, curriculum, scalable, device_compat, hands_on","small, medium, large, district",Classroom Solution,"$4,730",20-30 students,https://store.crexo.com/collections/hummingbird-bit/products/hummingbird-solution,80290009
Owlet Cube,BirdBrain Technologies,Sensor-enabled tower teaches place value by stacking cubes.,"K-2, 3-5",math,"beginner, device_compat","small, medium, large, district",Single Unit,$100,Per student,https://store.crexo.com/collections/owlet-math-tools/products/cube,80230001
Owlet Glow,BirdBrain Technologies,"LED display + dials for exploring fractions, equations, and operations.","K-2, 3-5",math,"beginner, device_compat","small, medium, large, district",Single Unit,$100,Per student,https://store.crexo.com/collections/owlet-math-tools/products/glow,80230003
Strawbees,Strawbees,Screen-free building that sparks creativity and collaboration.,"K-2, 3-5, 6-8",engineering,"screen_free, open_ended, beginner, scalable, hands_on","small, medium, large, district",STEAM Starter Kit,$35,2 students,https://store.crexo.com/collections/strawbees/products/strawbees-steam-starter-kit,80410005
Strawbees,Strawbees,"Building on the foundation of the STEAM Starter Kit, this set includes more straws, more connectors, and exciting new add-ons that open the door to limitless design possibilities.","K-2, 3-5, 6-8",engineering,"screen_free, open_ended, beginner, scalable, hands_on","small, medium, large, district",Imagination Kit,$110,1-3 students,https://store.crexo.com/collections/strawbees/products/strawbees-imagination-kit,80410007
